STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,EMXP,MXSD,TPCP,TSNW,MNTM
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930101,0,-9999,0,-9999,-196
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930201,76,-9999,177,177,-202
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930301,102,-9999,281,281,-130
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930401,76,-9999,129,106,5
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930501,262,-9999,349,-9999,104
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930601,-9999,-9999,-9999,-9999,169
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930801,191,-9999,209,-9999,189
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18930901,168,-9999,313,-9999,139
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18931001,122,-9999,266,-9999,36
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18931101,152,-9999,279,279,-81
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18931201,-9999,-9999,-9999,-9999,-171
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940101,-9999,-9999,-9999,-9999,-197
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940201,0,-9999,0,0,-153
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940301,203,-9999,304,280,-67
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940401,216,-9999,675,127,50
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940501,61,-9999,61,-9999,118
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940601,203,-9999,404,-9999,192
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940701,229,-9999,239,-9999,215
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940801,43,-9999,43,-9999,198
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18940901,-9999,-9999,-9999,-9999,-105
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950101,-9999,-9999,-9999,-9999,-217
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950201,76,-9999,101,101,-164
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950301,0,-9999,0,-9999,-63
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950401,178,-9999,333,-9999,91
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950501,254,-9999,855,-9999,114
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950601,279,-9999,876,-9999,143
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950701,206,-9999,691,-9999,183
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18950901,119,-9999,259,-9999,106
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18951001,0,-9999,0,0,41
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18951101,152,-9999,279,279,-59
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18951201,8,-9999,8,8,-118
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960101,0,-9999,0,0,-170
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960201,-9999,-9999,-9999,-9999,-119
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960301,51,-9999,102,51,-100
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960401,597,-9999,915,102,34
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960601,236,-9999,808,-9999,179
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960701,196,-9999,367,-9999,192
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960801,0,-9999,0,-9999,173
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18960901,312,-9999,559,-9999,110
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18961001,-9999,-9999,-9999,-9999,46
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18961101,0,-9999,0,-9999,-162
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18961201,-9999,-9999,-9999,0,-113
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18970101,0,-9999,0,0,-176
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18970201,-9999,-9999,-9999,0,-171
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18970301,-9999,-9999,-9999,0,-143
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18970401,-9999,-9999,-9999,-9999,50
GHCND:USC00329445,WILLOW CITY ND US,448.1,48.633333,-100.35,18970501,147,-9999,147,-9999,122
