NAME,2012 population
ADDISON,1357.00
BRIDPORT,1215.00
BRISTOL,3875.00
CORNWALL,1174.00
FERRISBURGH,2757.00
GOSHEN,163.00
GRANVILLE,297.00
HANCOCK,322.00
LEICESTER,1109.00
LINCOLN,1266.00
MIDDLEBURY,8477.00
MONKTON,2015.00
NEW HAVEN,1747.00
ORWELL,1245.00
PANTON,670.00
RIPTON,582.00
SALISBURY,1128.00
SHOREHAM,1268.00
STARKSBORO,1769.00
VERGENNES,2584.00
WALTHAM,478.00
WEYBRIDGE,827.00
WHITING,420.00
ARLINGTON,2297.00
BENNINGTON,15555.00
DORSET,2008.00
LANDGROVE,159.00
MANCHESTER,4339.00
PERU,371.00
POWNAL,3490.00
READSBORO,751.00
RUPERT,706.00
SANDGATE,403.00
SEARSBURG,108.00
SHAFTSBURY,3554.00
STAMFORD,818.00
SUNDERLAND,950.00
WINHALL,762.00
WOODFORD,418.00
GLASTENBURY,8.00
BARNET,1696.00
BURKE,1744.00
DANVILLE,2197.00
GROTON,1020.00
HARDWICK,2968.00
KIRBY,490.00
LYNDON,5969.00
NEWARK,581.00
PEACHAM,726.00
RYEGATE,1164.00
SHEFFIELD,700.00
ST. JOHNSBURY,7591.00
STANNARD,220.00
SUTTON,1030.00
WALDEN,932.00
WATERFORD,1285.00
WHEELOCK,808.00
BOLTON,1188.00
BURLINGTON,42282.00
CHARLOTTE,3812.00
COLCHESTER,17245.00
ESSEX,20057.00
HINESBURG,4457.00
HUNTINGTON,1969.00
JERICHO,5028.00
MILTON,10526.00
RICHMOND,4093.00
SHELBURNE,7449.00
SOUTH BURLINGTON,18400.00
ST. GEORGE,680.00
UNDERHILL,3044.00
WESTFORD,2043.00
WILLISTON,8962.00
WINOOSKI,7239.00
BUELS GORE,30.00
BLOOMFIELD,219.00
BRIGHTON,1204.00
BRUNSWICK,113.00
CANAAN,954.00
CONCORD,1221.00
EAST HAVEN,287.00
GRANBY,87.00
GUILDHALL,260.00
LEMINGTON,102.00
LUNENBURG,1287.00
MAIDSTONE,206.00
NORTON,165.00
VICTORY,61.00
AVERILL,24.00
AVERYS GORE,0.00
FERDINAND,32.00
LEWIS,0.00
WARNERS GRANT,0.00
WARREN GORE,4.00
BAKERSFIELD,1342.00
BERKSHIRE,1710.00
ENOSBURG,2770.00
FAIRFAX,4398.00
FAIRFIELD,1920.00
FLETCHER,1295.00
FRANKLIN,1417.00
GEORGIA,4602.00
HIGHGATE,3568.00
MONTGOMERY,1197.00
RICHFORD,2322.00
SHELDON,2207.00
ST. ALBANS TOWN,6136.00
ST. ALBANS CITY,6894.00
SWANTON,6436.00
ALBURGH,2004.00
GRAND ISLE,2069.00
ISLE LA MOTTE,473.00
NORTH HERO,803.00
SOUTH HERO,1634.00
BELVIDERE,354.00
CAMBRIDGE,3726.00
EDEN,1345.00
ELMORE,871.00
HYDE PARK,3037.00
JOHNSON,3495.00
MORRISTOWN,5335.00
STOWE,4390.00
WATERVILLE,685.00
WOLCOTT,1720.00
BRADFORD,2782.00
BRAINTREE,1236.00
BROOKFIELD,1295.00
CHELSEA,1241.00
CORINTH,1370.00
FAIRLEE,980.00
NEWBURY,2212.00
ORANGE,1075.00
RANDOLPH,4762.00
STRAFFORD,1102.00
THETFORD,2600.00
TOPSHAM,1174.00
TUNBRIDGE,1288.00
VERSHIRE,723.00
WASHINGTON,1031.00
WEST FAIRLEE,659.00
WILLIAMSTOWN,3394.00
ALBANY,932.00
BARTON,2753.00
BROWNINGTON,979.00
CHARLESTON,1014.00
COVENTRY,1077.00
CRAFTSBURY,1195.00
DERBY,4562.00
GLOVER,1113.00
GREENSBORO,754.00
HOLLAND,624.00
IRASBURG,1153.00
JAY,539.00
LOWELL,871.00
MORGAN,746.00
NEWPORT CITY,4530.00
NEWPORT TOWN,1751.00
TROY,1642.00
WESTFIELD,527.00
WESTMORE,347.00
BENSON,1049.00
BRANDON,3919.00
CASTLETON,4665.00
CHITTENDEN,1241.00
CLARENDON,2543.00
DANBY,1300.00
FAIR HAVEN,2693.00
HUBBARDTON,698.00
IRA,429.00
MENDON,1051.00
MIDDLETOWN SPRINGS,741.00
MOUNT HOLLY,1229.00
MOUNT TABOR,254.00
PAWLET,1459.00
PITTSFIELD,543.00
PITTSFORD,2943.00
POULTNEY,3387.00
PROCTOR,1705.00
RUTLAND CITY,16217.00
RUTLAND,4040.00
KILLINGTON,802.00
SHREWSBURY,1044.00
SUDBURY,553.00
TINMOUTH,619.00
WALLINGFORD,2055.00
WELLS,1144.00
WEST HAVEN,263.00
WEST RUTLAND,2283.00
BARRE TOWN,7933.00
BARRE CITY,8967.00
BERLIN,2871.00
CABOT,1452.00
CALAIS,1601.00
DUXBURY,1336.00
EAST MONTPELIER,2602.00
FAYSTON,1358.00
MARSHFIELD,1567.00
MIDDLESEX,1756.00
MONTPELIER,7787.00
MORETOWN,1666.00
NORTHFIELD,6185.00
PLAINFIELD,1257.00
ROXBURY,693.00
WAITSFIELD,1726.00
WARREN,1704.00
WATERBURY,5102.00
WOODBURY,901.00
WORCESTER,1001.00
ATHENS,438.00
BRATTLEBORO,11848.00
BROOKLINE,526.00
DOVER,1113.00
DUMMERSTON,1840.00
GRAFTON,674.00
GUILFORD,2104.00
HALIFAX,725.00
JAMAICA,1027.00
LONDONDERRY,1762.00
MARLBORO,1069.00
NEWFANE,1697.00
PUTNEY,2700.00
ROCKINGHAM,5190.00
STRATTON,213.00
TOWNSHEND,1223.00
VERNON,2192.00
WARDSBORO,890.00
WESTMINSTER,3132.00
WHITINGHAM,1350.00
WILMINGTON,1853.00
WINDHAM,416.00
SOMERSET,3.00
ANDOVER,471.00
BALTIMORE,247.00
BARNARD,939.00
BETHEL,2020.00
BRIDGEWATER,933.00
CAVENDISH,1363.00
CHESTER,3116.00
HARTFORD,9838.00
HARTLAND,3385.00
LUDLOW,1945.00
NORWICH,3393.00
PLYMOUTH,615.00
POMFRET,898.00
READING,659.00
ROCHESTER,1126.00
ROYALTON,2771.00
SHARON,1497.00
SPRINGFIELD,9284.00
STOCKBRIDGE,733.00
WEATHERSFIELD,2810.00
WESTON,563.00
WEST WINDSOR,1095.00
WINDSOR,3498.00
WOODSTOCK,3012.00
